cladeA_427	c300_g1_i1
cladeA_428	c301_g1_i1
cladeA_429	c301_g1_i2
cladeA_430	c302_g1_i1
cladeA_431	c303_g1_i1
cladeA_432	c303_g1_i2
cladeA_433	c304_g1_i1
cladeA_434	c304_g1_i2
cladeA_435	c305_g1_i1
cladeA_436	c307_g1_i1
cladeA_437	c308_g1_i1
cladeA_438	c308_g1_i2
cladeA_439	c309_g1_i1
cladeA_440	c309_g1_i2
cladeA_441	c310_g1_i1
cladeA_442	c310_g1_i2
cladeA_443	c311_g1_i1
cladeA_444	c312_g1_i1
cladeA_445	c312_g1_i2
cladeA_446	c313_g1_i1
cladeA_447	c314_g1_i1
cladeA_448	c315_g1_i1
cladeA_449	c316_g1_i1
cladeA_450	c318_g1_i1
cladeA_451	c318_g1_i2
cladeA_452	c319_g1_i1
cladeA_453	c320_g1_i1
cladeA_454	c320_g1_i2
cladeA_455	c321_g1_i1
cladeA_456	c322_g1_i1
cladeA_457	c322_g1_i2
cladeA_458	c323_g1_i1
cladeA_459	c323_g1_i2
cladeA_460	c324_g1_i1
cladeA_461	c325_g1_i1
cladeA_462	c326_g1_i1
cladeA_463	c327_g1_i1
cladeA_464	c327_g1_i2
cladeA_465	c328_g1_i1
cladeA_466	c329_g1_i1
cladeA_467	c330_g1_i1
cladeA_468	c331_g1_i1
cladeA_469	c332_g1_i1
cladeA_470	c333_g1_i1
cladeA_471	c334_g1_i1
cladeA_472	c335_g1_i1
cladeA_473	c335_g1_i2
cladeA_474	c336_g1_i1
cladeA_475	c337_g1_i1
cladeA_476	c338_g1_i1
cladeA_477	c338_g1_i2
cladeA_478	c339_g1_i1
cladeA_479	c340_g1_i1
cladeA_480	c341_g1_i1
cladeA_481	c342_g1_i1
cladeA_482	c342_g1_i2
cladeA_483	c343_g1_i1
cladeA_484	c343_g1_i2
cladeA_485	c344_g1_i1
cladeA_486	c345_g1_i1
cladeA_487	c346_g1_i1
cladeA_488	c347_g1_i1
cladeA_489	c348_g1_i1
cladeA_490	c348_g1_i2
cladeA_491	c349_g1_i1
cladeA_492	c350_g1_i1
cladeA_493	c350_g1_i2
cladeA_494	c351_g1_i1
cladeA_495	c351_g1_i2
cladeA_496	c352_g1_i1
cladeA_497	c353_g1_i1
