cladeB_387	comp894_c0_seq2
cladeB_388	comp895_c0_seq2
cladeB_389	comp901_c0_seq1
cladeB_390	comp902_c0_seq1
cladeB_391	comp903_c0_seq1
cladeB_392	comp906_c0_seq1
cladeB_393	comp907_c0_seq1
cladeB_394	comp908_c0_seq1
cladeB_395	comp913_c0_seq1
cladeB_396	comp920_c0_seq1
cladeB_397	comp922_c0_seq1
cladeB_398	comp923_c0_seq1
cladeB_399	comp924_c0_seq1
cladeB_400	comp929_c0_seq1
cladeB_401	comp931_c0_seq1
cladeB_402	comp935_c0_seq1
cladeB_403	comp937_c0_seq1
cladeB_404	comp938_c0_seq1
cladeB_405	comp939_c0_seq1
cladeB_406	comp941_c0_seq1
cladeB_407	comp944_c0_seq1
cladeB_408	comp945_c0_seq1
cladeB_409	comp949_c0_seq1
cladeB_410	comp950_c0_seq1
cladeB_411	comp952_c0_seq1
cladeB_412	comp953_c0_seq1
cladeB_413	comp954_c0_seq1
cladeB_414	comp955_c0_seq1
cladeB_415	comp957_c0_seq1
cladeB_416	comp959_c0_seq1
cladeB_417	comp962_c0_seq1
cladeB_418	comp968_c0_seq1
cladeB_419	comp969_c0_seq1
cladeB_420	comp971_c0_seq1
cladeB_421	comp973_c0_seq1
cladeB_422	comp976_c0_seq1
cladeB_423	comp977_c0_seq1
cladeB_424	comp981_c0_seq1
cladeB_425	comp984_c0_seq1
cladeB_426	comp985_c0_seq2
cladeB_427	comp988_c0_seq1
cladeB_428	comp991_c0_seq1
cladeB_429	comp993_c0_seq1
cladeB_430	comp994_c0_seq1
cladeB_431	comp998_c0_seq1
cladeB_432	comp1000_c0_seq1
cladeB_433	comp1001_c0_seq1
cladeB_434	comp1002_c0_seq1
cladeB_435	comp1004_c0_seq1
cladeB_436	comp1005_c0_seq1
cladeB_437	comp1007_c0_seq1
cladeB_438	comp1010_c0_seq1
cladeB_439	comp1011_c0_seq1
cladeB_440	comp1013_c0_seq1
cladeB_441	comp1015_c0_seq1
cladeB_442	comp1016_c0_seq1
cladeB_443	comp1017_c0_seq1
cladeB_444	comp1022_c0_seq1
cladeB_445	comp1024_c0_seq2
cladeB_446	comp1025_c0_seq1
cladeB_447	comp1026_c0_seq1
cladeB_448	comp1027_c0_seq1
cladeB_449	comp1029_c0_seq1
cladeB_450	comp1030_c0_seq1
cladeB_451	comp1034_c0_seq1
cladeB_452	comp1036_c0_seq1
cladeB_453	comp1037_c0_seq1
cladeB_454	comp1040_c0_seq1
cladeB_455	comp1041_c0_seq1
cladeB_456	comp1048_c0_seq1
cladeB_457	comp1050_c0_seq1
cladeB_458	comp1052_c0_seq1
cladeB_459	comp1053_c0_seq2
cladeB_460	comp1055_c0_seq1
cladeB_461	comp1058_c0_seq1
cladeB_462	comp1059_c0_seq1
cladeB_463	comp1060_c0_seq1
cladeB_464	comp1061_c0_seq1
cladeB_465	comp1062_c0_seq1
cladeB_466	comp1063_c0_seq1
cladeB_467	comp1065_c0_seq1
cladeB_468	comp1067_c0_seq1
